codEvento,nombre,fecha,lugar,aforo
1,Festival de Música,2024-12-15,Auditorio Nacional,5000
2,Conferencia de Tecnología,2024-10-10,Centro de Convenciones,3000
3,Exposición de Arte,2024-11-20,Museo de Arte Moderno,200
4,Torneo de Ajedrez,2024-09-05,Gimnasio Municipal,150
5,Concierto de Rock,2024-08-25,Estadio Olímpico,25000
6,Feria de Emprendedores,2024-07-30,Plaza Central,400
7,Maratón Solidaria,2024-06-10,Parque Principal,5000
8,Presentación de Libro,2024-05-25,Biblioteca Nacional,100
9,Obra de Teatro,2024-04-18,Teatro Principal,800
10,Fiesta de Año Nuevo,2024-12-31,Hotel Continental,300
